Port_Code,Country-Code,Route-Code
JP SAK,JP,AS
IQ UQR,IQ,NN
TW KHH,TW,AS
GI GIB,GI,NN
ES AGP,ES,EU
OM SLL,OM,EU
CN DLC,CN,AS
MY BKI,MY,EU
MY KCH,MY,EU
AR PMY,AR,SA
TR IST,TR,EU
TR,TR,EU
AU DPO,AU,OC
CL VAP,CL,SA
