Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
MOL,UPAC,GLORIOUS ACE,,,GLORIOUS ACE 0076A,Durban ,ZA DUR,25/6/2022,26/6/2022
MOL,NAAS-MAGELLAN,NEPTUNE ACE,,,NEPTUNE ACE 0092A,Puerto,HN PCR,26/6/2022,26/6/2022
MOL,3CS,BRILLIANT ACE,,,BRILLIANT ACE 0092A or sub,Baltimore,US BAL,25/6/2022,26/6/2022
MOL,ESPEX,MERCURY ACE,,,MERCURY ACE 0084A,Xinsha ,CN XNA,25/6/2022,26/6/2022
MOL,ESPEX,BELUGA ACE,,,BELUGA ACE 0036A,Hong Kong ,HK HKG,26/6/2022,27/6/2022
MOL,UPAC,CATTLEYA ACE,,,CATTLEYA ACE 0076A or sub,Charleston,US CHS,27/6/2022,27/6/2022
MOL,ESPEX,WISDOM ACE,,,WISDOM ACE 0072A,Xingang,CN XGA,26/6/2022,27/6/2022
MOL,NAPEX,NOBLE ACE,,,NOBLE ACE 0096A,Xinsha ,CN XNA,27/6/2022,28/6/2022
MOL,3CS,SERENITY ACE,,,SERENITY ACE 0106A,Singapore ,SG SIN,27/6/2022,28/6/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0129A,Jebel,AE JEA,27/6/2022,28/6/2022
MOL,INTRA ASIA(MOL OPERATED),T VESSEL S,,,SEASEA_IA 23 JUN,Jakarta,ID TPP,28/6/2022,28/6/2022
MOL,UPAC,CATTLEYA ACE,,,CATTLEYA ACE 0076A or sub,Brunswick,US BCK,28/6/2022,28/6/2022
MOL,ESPEX,CRYSTAL ACE,,,CRYSTAL ACE 0086A,Antwerpen,BE ANR,28/6/2022,29/6/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0129A,Abu Dhabi,AE AUH,28/6/2022,29/6/2022
MOL,ESPEX,BELUGA ACE,,,BELUGA ACE 0036A,Xinsha ,CN XNA,28/6/2022,29/6/2022
MOL,ESPEX,WISDOM ACE,,,WISDOM ACE 0072A,Pyeongtaek ,KR PTK,29/6/2022,29/6/2022
MOL,INTRA ASIA(MOL OPERATED),T VESSEL S,,,SEASEA_IA 30 JUN,Laem Chabang ,TH LCH,29/6/2022,30/6/2022
