Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,66 A,Bremerhaven,DE BRV,29/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,52 A,Bremerhaven,DE BRV,8/7/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,4 A,Bremerhaven,DE BRV,18/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,56 A,Bremerhaven,DE BRV,23/7/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,12 A,Bremerhaven,DE BRV,22/7/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,66 A,Bremerhaven,DE BRV,2/8/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,67 A,Bremerhaven,DE BRV,29/7/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,50 A,Zeebrugge,BE ZEE,5/5/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,43 A,Zeebrugge,BE ZEE,14/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,36 A,Zeebrugge,BE ZEE,20/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,10 A,Zeebrugge,BE ZEE,19/5/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Zeebrugge,BE ZEE,1/6/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,54 A,Zeebrugge,BE ZEE,9/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,51 A,Zeebrugge,BE ZEE,10/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,64 A,Zeebrugge,BE ZEE,22/6/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,44 A,Zeebrugge,BE ZEE,17/6/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11 A,Zeebrugge,BE ZEE,20/6/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,38 A,Zeebrugge,BE ZEE,4/7/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,66 A,Zeebrugge,BE ZEE,1/7/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,52 A,Zeebrugge,BE ZEE,10/7/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,4 A,Zeebrugge,BE ZEE,20/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,56 A,Zeebrugge,BE ZEE,25/7/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,12 A,Zeebrugge,BE ZEE,24/7/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,66 A,Zeebrugge,BE ZEE,4/8/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,67 A,Zeebrugge,BE ZEE,31/7/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,37 A,Barcelona,ES BCN,10/5/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,65 A,Barcelona,ES BCN,14/6/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,53 A,Southampton,GB SOU,28/4/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Southampton,GB SOU,29/4/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,63 A,Southampton,GB SOU,30/4/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,51 A,Southampton,GB SOU,1/5/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,44 A,Southampton,GB SOU,17/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11A,Southampton,GB SOU,20/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,37 A,Southampton,GB SOU,15/5/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,66 A,Southampton,GB SOU,26/5/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,52 A,Southampton,GB SOU,6/6/2021,
