Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Freeport, TX",BS FPO,24/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Jacksonville, FL",US JAX,31/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Brunswick, GA",,19/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,Savannah,US SAV,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Baltimore, MD",US BAL,03/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"New York, NY",US NYC,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Philadelphia, PA",US PHL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Kwangyang, Korea",,08/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Pyeongtaek, Korea",,04/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Masan, Korea",KR MAS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Inchon, Korea",KR INC,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Mokpo, Korea",KR MOK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Ulsan, Korea",KR USN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,Busan (Commercial),KR PUS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,Singapore,SG SIN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Yokohama, Japan",JP YOK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Higashi Harima, Japan",,09/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Port Hueneme, CA",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Freeport, TX",BS FPO,16/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Jacksonville, FL",US JAX,11/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Brunswick, GA",,10/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,Savannah,US SAV,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Baltimore, MD",US BAL,05/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"New York, NY",US NYC,03/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 39,"Philadelphia, PA",US PHL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Kwangyang, Korea",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Pyeongtaek, Korea",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Masan, Korea",KR MAS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Inchon, Korea",KR INC,08/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Mokpo, Korea",KR MOK,10/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Ulsan, Korea",KR USN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,Busan (Commercial),KR PUS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,Singapore,SG SIN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Yokohama, Japan",JP YOK,14/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Higashi Harima, Japan",,12/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Port Hueneme, CA",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Freeport, TX",BS FPO,15/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Jacksonville, FL",US JAX,21/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Brunswick, GA",,07/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,Savannah,US SAV,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Baltimore, MD",US BAL,24/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"New York, NY",US NYC,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 103,"Philadelphia, PA",US PHL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Kwangyang, Korea",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Pyeongtaek, Korea",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Masan, Korea",KR MAS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Inchon, Korea",KR INC,31/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Mokpo, Korea",KR MOK,02/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Ulsan, Korea",KR USN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,Busan (Commercial),KR PUS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,Singapore,SG SIN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Yokohama, Japan",JP YOK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Higashi Harima, Japan",,04/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Port Hueneme, CA",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Freeport, TX",BS FPO,08/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Jacksonville, FL",US JAX,14/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Brunswick, GA",,01/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,Savannah,US SAV,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Baltimore, MD",US BAL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"New York, NY",US NYC,17/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 97,"Philadelphia, PA",US PHL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Kwangyang, Korea",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Pyeongtaek, Korea",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Masan, Korea",KR MAS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Inchon, Korea",KR INC,20/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Mokpo, Korea",KR MOK,21/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Ulsan, Korea",KR USN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,Busan (Commercial),KR PUS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,Singapore,SG SIN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Yokohama, Japan",JP YOK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Higashi Harima, Japan",,24/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Port Hueneme, CA",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Freeport, TX",BS FPO,27/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Jacksonville, FL",US JAX,03/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Brunswick, GA",,20/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,Savannah,US SAV,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Baltimore, MD",US BAL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"New York, NY",US NYC,06/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 41,"Philadelphia, PA",US PHL,,
